date,Open,High,Low,Adj Close,Volume
2020-04-24 16:00:00,124.52,124.84,124.5,124.73,168855.0
2020-04-24 15:55:00,124.68,125.0,124.19,124.51,144297.0
2020-04-24 15:50:00,124.8601,124.8601,124.5272,124.66,73119.0
2020-04-24 15:45:00,124.68,124.95,124.68,124.88,75160.0
2020-04-24 15:40:00,124.49,124.74,124.46,124.68,80184.0
2020-04-24 15:35:00,124.38,124.59,124.27,124.49,77204.0
2020-04-24 15:30:00,124.33,124.3701,124.1201,124.37,35398.0
2020-04-24 15:25:00,124.29,124.33,124.0501,124.32,47055.0
2020-04-24 15:20:00,124.17,124.43,124.11,124.31,82157.0
2020-04-24 15:15:00,124.22,124.265,123.96,124.2265,80175.0
2020-04-24 15:10:00,124.046,124.23,124.046,124.22,55529.0
2020-04-24 15:05:00,124.14,124.14,123.94,124.04,64780.0
2020-04-24 15:00:00,124.09,124.17,124.06,124.155,35324.0
2020-04-24 14:55:00,124.2579,124.39,124.07,124.085,52503.0
2020-04-24 14:50:00,124.05,124.25,124.03,124.2175,34897.0
2020-04-24 14:45:00,124.05,124.09,123.895,124.05,40131.0
2020-04-24 14:40:00,123.91,124.06,123.8101,124.05,45438.0
2020-04-24 14:35:00,123.78,124.04,123.75,123.94,53980.0
2020-04-24 14:30:00,123.595,123.81,123.455,123.795,56651.0
2020-04-24 14:25:00,123.73,123.788,123.445,123.5959,83276.0
2020-04-24 14:20:00,123.7,123.8942,123.61,123.7301,75780.0
2020-04-24 14:15:00,123.53,123.7762,123.5,123.7,83593.0
2020-04-24 14:10:00,123.36,123.66,123.29,123.53,95584.0
2020-04-24 14:05:00,123.01,123.39,122.89,123.37,89113.0
2020-04-24 14:00:00,122.73,123.05,122.67,123.0202,51967.0
2020-04-24 13:55:00,122.64,122.76,122.58,122.73,43685.0
2020-04-24 13:50:00,122.65,122.6607,122.54,122.64,27290.0
2020-04-24 13:45:00,122.51,122.72,122.51,122.655,45513.0
2020-04-24 13:40:00,122.28,122.57,122.28,122.5,26381.0
2020-04-24 13:35:00,122.38,122.39,122.27,122.295,17570.0
2020-04-24 13:30:00,122.29,122.39,122.22,122.37,20214.0
2020-04-24 13:25:00,122.06,122.29,121.99,122.285,28890.0
2020-04-24 13:20:00,122.085,122.09,121.94,122.085,26966.0
2020-04-24 13:15:00,122.28,122.28,122.11,122.11,13268.0
2020-04-24 13:10:00,122.1069,122.3,122.095,122.28,24750.0
2020-04-24 13:05:00,122.062,122.13,121.962,122.0824,17021.0
2020-04-24 13:00:00,122.05,122.16,122.01,122.085,20385.0
2020-04-24 12:55:00,121.94,122.17,121.94,122.04,51733.0
2020-04-24 12:50:00,121.85,122.0,121.85,121.96,28424.0
2020-04-24 12:45:00,121.84,121.98,121.8,121.87,23494.0
2020-04-24 12:40:00,121.65,121.9263,121.53,121.866,28405.0
2020-04-24 12:35:00,121.72,121.75,121.63,121.645,21799.0
2020-04-24 12:30:00,121.52,121.72,121.4838,121.72,23563.0
2020-04-24 12:25:00,121.7499,121.75,121.5,121.525,27290.0
2020-04-24 12:20:00,121.5752,121.8,121.5752,121.7302,29661.0
2020-04-24 12:15:00,121.66,121.67,121.53,121.56,24024.0
2020-04-24 12:10:00,121.365,121.72,121.29,121.7,22363.0
2020-04-24 12:05:00,121.29,121.46,121.13,121.34,27723.0
2020-04-24 12:00:00,121.36,121.48,121.285,121.285,15857.0
2020-04-24 11:55:00,121.56,121.59,121.35,121.41,29898.0
2020-04-24 11:50:00,121.47,121.6,121.395,121.59,19937.0
2020-04-24 11:45:00,121.35,121.52,121.2,121.51,49594.0
2020-04-24 11:40:00,121.02,121.44,120.95,121.4,26914.0
2020-04-24 11:35:00,120.99,121.115,120.82,120.97,32776.0
2020-04-24 11:30:00,121.23,121.25,120.99,120.99,21629.0
2020-04-24 11:25:00,121.05,121.25,120.99,121.25,27687.0
2020-04-24 11:20:00,120.9781,121.21,120.84,121.05,71502.0
2020-04-24 11:15:00,121.0,121.02,120.7634,120.9395,59867.0
2020-04-24 11:10:00,121.0,121.16,120.93,121.01,28693.0
2020-04-24 11:05:00,121.11,121.17,121.02,121.02,47825.0
2020-04-24 11:00:00,121.38,121.42,121.07,121.17,29397.0
2020-04-24 10:55:00,121.4709,121.49,121.36,121.38,29688.0
2020-04-24 10:50:00,121.25,121.53,121.23,121.44,60315.0
2020-04-24 10:45:00,121.3795,121.3795,121.14,121.275,22933.0
2020-04-24 10:40:00,121.1858,121.4,121.07,121.32,26878.0
2020-04-24 10:35:00,121.0671,121.275,120.88,121.17,37791.0
2020-04-24 10:30:00,121.125,121.2,120.78,121.0,27608.0
2020-04-24 10:25:00,121.32,121.35,121.08,121.13,31372.0
2020-04-24 10:20:00,121.1292,121.456,121.06,121.35,25787.0
2020-04-24 10:15:00,121.2,121.39,121.11,121.13,47944.0
2020-04-24 10:10:00,121.3,121.75,121.1241,121.2,42344.0
2020-04-24 10:05:00,121.59,121.69,121.17,121.28,44472.0
2020-04-24 10:00:00,121.92,121.92,121.49,121.64,37525.0
2020-04-24 09:55:00,122.3388,122.35,121.88,121.94,53444.0
2020-04-24 09:50:00,122.64,122.78,122.31,122.3499,37001.0
2020-04-24 09:45:00,122.72,122.7595,122.44,122.6525,43395.0
2020-04-24 09:40:00,122.8,122.83,122.36,122.73,43596.0
2020-04-24 09:35:00,122.61,122.83,122.0,122.81,146455.0
2020-04-23 16:00:00,121.71,121.74,121.38,121.38,257799.0
2020-04-23 15:55:00,121.86,122.02,121.5,121.6801,194049.0
2020-04-23 15:50:00,121.68,121.98,121.6,121.83,154595.0
2020-04-23 15:45:00,121.69,122.1,121.64,121.67,133741.0
2020-04-23 15:40:00,121.88,121.96,121.51,121.67,94386.0
2020-04-23 15:35:00,121.65,121.93,121.41,121.83,94687.0
2020-04-23 15:30:00,121.53,121.71,121.51,121.66,72170.0
2020-04-23 15:25:00,121.51,121.65,121.28,121.54,82761.0
2020-04-23 15:20:00,121.928,121.928,121.51,121.51,87590.0
2020-04-23 15:15:00,122.35,122.365,121.86,121.95,70953.0
2020-04-23 15:10:00,122.23,122.44,122.2,122.335,57027.0
2020-04-23 15:05:00,122.89,122.89,122.26,122.26,89971.0
2020-04-23 15:00:00,122.635,123.03,122.62,122.88,110206.0
2020-04-23 14:55:00,122.18,122.78,122.18,122.65,234171.0
2020-04-23 14:50:00,121.97,122.2881,121.86,122.1655,196567.0
2020-04-23 14:45:00,121.51,122.06,121.51,121.97,146585.0
2020-04-23 14:40:00,121.51,121.64,121.16,121.495,124583.0
2020-04-23 14:35:00,121.32,121.6,121.25,121.505,119200.0
2020-04-23 14:30:00,121.07,121.32,121.07,121.32,105635.0
2020-04-23 14:25:00,120.71,121.085,120.56,121.07,64935.0
2020-04-23 14:20:00,120.31,121.0,120.3,120.74,131081.0
2020-04-23 14:15:00,120.16,120.35,119.91,120.315,52575.0
2020-04-23 14:10:00,120.14,120.39,119.99,120.14,115260.0
2020-04-23 14:05:00,119.82,120.22,119.72,120.17,54143.0
2020-04-23 14:00:00,119.54,119.97,119.53,119.88,47077.0
2020-04-23 13:55:00,119.8,119.99,119.56,119.5607,94162.0
2020-04-23 13:50:00,119.7916,119.9716,119.73,119.8132,28520.0
2020-04-23 13:45:00,120.15,120.23,119.72,119.7788,46562.0
2020-04-23 13:40:00,120.41,120.51,120.11,120.13,21111.0
2020-04-23 13:35:00,120.0,120.39,119.91,120.3631,30974.0
2020-04-23 13:30:00,119.94,120.025,119.6696,119.97,22119.0
2020-04-23 13:25:00,120.31,120.36,119.89,119.96,36998.0
2020-04-23 13:20:00,120.61,120.64,120.3,120.3,28514.0
2020-04-23 13:15:00,120.05,120.66,120.05,120.66,34924.0
2020-04-23 13:10:00,120.46,120.51,119.9602,120.0663,31676.0
2020-04-23 13:05:00,119.99,120.58,119.92,120.53,33247.0
2020-04-23 13:00:00,119.79,120.16,119.67,120.0,42958.0
2020-04-23 12:55:00,120.02,120.03,119.21,119.79,94983.0
2020-04-23 12:50:00,120.43,120.67,119.12,120.02,130597.0
2020-04-23 12:45:00,121.32,121.33,120.21,120.41,70113.0
2020-04-23 12:40:00,121.34,121.38,121.22,121.315,21043.0
2020-04-23 12:35:00,121.345,121.4,121.325,121.37,29971.0
2020-04-23 12:30:00,121.36,121.41,121.33,121.345,29554.0
2020-04-23 12:25:00,121.1881,121.39,121.13,121.35,33788.0
2020-04-23 12:20:00,121.16,121.18,121.0833,121.16,45858.0
2020-04-23 12:15:00,121.165,121.18,121.09,121.16,22039.0
2020-04-23 12:10:00,121.16,121.23,121.135,121.18,22447.0
2020-04-23 12:05:00,121.23,121.34,121.1214,121.16,28622.0
2020-04-23 12:00:00,121.11,121.27,121.08,121.236,21866.0
2020-04-23 11:55:00,120.99,121.22,120.99,121.05,25489.0
